subject,trial,codes,item,prime,wordness,luminance,RT
1,1,1112,1,1,1,2,616.47
1,2,8111,8,1,1,1,587.3
1,3,9111,9,1,1,1,556.29
1,4,201201,201,2,0,1,746.59
1,5,61112,61,1,1,2,619.27
1,6,97311,97,3,1,1,653.9
1,7,134103,134,1,0,3,648.47
1,8,126101,126,1,0,1,643.04
1,9,25211,25,2,1,1,743.28
1,10,16212,16,2,1,2,615.96
1,11,195103,195,1,0,3,768.1
1,12,70111,70,1,1,1,674.56
1,13,187101,187,1,0,1,681.04
1,14,15113,15,1,1,3,559.93
1,15,49412,49,4,1,2,740.26
1,16,141201,141,2,0,1,676.74
1,17,175401,175,4,0,1,641.31
1,18,41313,41,3,1,3,662.53
1,19,31312,31,3,1,2,599.91
1,20,156301,156,3,0,1,803.99
1,21,33312,33,3,1,2,744.22
1,22,50412,50,4,1,2,744.54
1,23,40311,40,3,1,1,649.09
1,24,21211,21,2,1,1,611.86
1,25,32312,32,3,1,2,592.74
1,26,168402,168,4,0,2,632.06
1,27,65112,65,1,1,2,560.99
1,28,116413,116,4,1,3,751.33
1,29,87213,87,2,1,3,879.17
1,30,91312,91,3,1,2,579.94
1,31,184102,184,1,0,2,622.71
1,32,234401,234,4,0,1,689.15
1,33,151302,151,3,0,2,749.38
1,34,95312,95,3,1,2,643.99
1,35,106412,106,4,1,2,648.6
1,36,215302,215,3,0,2,611.33
1,37,43313,43,3,1,3,560.25
1,38,191103,191,1,0,3,591.13
1,39,227402,227,4,0,2,687.58
1,40,17212,17,2,1,2,648.76
1,41,176403,176,4,0,3,628.07
1,42,79212,79,2,1,2,588.9
1,43,90213,90,2,1,3,611.69
1,44,147203,147,2,0,3,624.41
1,45,81211,81,2,1,1,680.89
1,46,222303,222,3,0,3,591.75
1,47,11113,11,1,1,3,592.58
1,48,202201,202,2,0,1,593.42
1,49,26213,26,2,1,3,552.38
1,50,94312,94,3,1,2,752.73
1,51,220301,220,3,0,1,689.19
1,52,127101,127,1,0,1,643.77
1,53,239403,239,4,0,3,775.91
1,54,233401,233,4,0,1,777.98
1,55,115411,115,4,1,1,748.23
1,56,47412,47,4,1,2,617.56
1,57,146203,146,2,0,3,642.18
1,58,186101,186,1,0,1,656.74
1,59,194103,194,1,0,3,651.33
1,60,204201,204,2,0,1,592.12
1,61,12113,12,1,1,3,592.98
1,62,44313,44,3,1,3,625.75
1,63,29213,29,2,1,3,608.49
1,64,28213,28,2,1,3,547.49
1,65,110412,110,4,1,2,556.52
1,66,211302,211,3,0,2,619.25
1,67,172401,172,4,0,1,653.86
1,68,164303,164,3,0,3,648.42
1,69,10111,10,1,1,1,684.91
1,70,143201,143,2,0,1,585.73
1,71,78212,78,2,1,2,714.17
1,72,67111,67,1,1,1,655.4
1,73,232401,232,4,0,1,618.16
1,74,125102,125,1,0,2,684.6
1,75,104313,104,3,1,3,744.88
1,76,152302,152,3,0,2,713.25
1,77,13113,13,1,1,3,711.62
1,78,144201,144,2,0,1,805.68
1,79,137202,137,2,0,2,937.2
1,80,113411,113,4,1,1,619.83
1,81,107412,107,4,1,2,686.44
